SOURCE_DESC	SECTOR_DESC	GROUP_DESC	COMMODITY_DESC	CLASS_DESC	PRODN_PRACTICE_DESC	UTIL_PRACTICE_DESC	STATISTICCAT_DESC	UNIT_DESC	SHORT_DESC	DOMAIN_DESC	DOMAINCAT_DESC	AGG_LEVEL_DESC	STATE_ANSI	STATE_FIPS_CODE	STATE_ALPHA	STATE_NAME	ASD_CODE	ASD_DESC	COUNTY_ANSI	COUNTY_CODE	COUNTY_NAME	REGION_DESC	ZIP_5	WATERSHED_CODE	WATERSHED_DESC	CONGR_DISTRICT_CODE	COUNTRY_CODE	COUNTRY_NAME	LOCATION_DESC	YEAR	FREQ_DESC	BEGIN_CODE	END_CODE	REFERENCE_PERIOD_DESC	WEEK_ENDING	LOAD_TIME	VALUE	CV_%
SURVEY	CROPS	FIELD CROPS	CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	GRAIN	AREA HARVESTED	ACRES	CORN, GRAIN - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	28	28	MS	MISSISSIPPI	90	SOUTHEAST AND COASTAL	023	023	CLARKE			00000000			9000	UNITED STATES	MISSISSIPPI, SOUTHEAST AND COASTAL, CLARKE	1954	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	17,600	 
SURVEY	CROPS	FIELD CROPS	SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA PLANTED	ACRES	SUNFLOWER - ACRES PLANTED	TOTAL	NOT SPECIFIED	COUNTY	31	31	NE	NEBRASKA	10	NORTHWEST	123	123	MORRILL			00000000			9000	UNITED STATES	NEBRASKA, NORTHWEST, MORRILL	1993	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	200	 
SURVEY	CROPS	FIELD CROPS	OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	BU	OATS - PRODUCTION, MEASURED IN BU	TOTAL	NOT SPECIFIED	COUNTY	17	17	IL	ILLINOIS	70	EAST SOUTHEAST	049	049	EFFINGHAM			00000000			9000	UNITED STATES	ILLINOIS, EAST SOUTHEAST, EFFINGHAM	1965	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	117,500	 
SURVEY	CROPS	FIELD CROPS	COTTON	UPLAND	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	480 LB BALES	COTTON, UPLAND - PRODUCTION, MEASURED IN 480 LB BALES	TOTAL	NOT SPECIFIED	COUNTY	28	28	MS	MISSISSIPPI	70	SOUTHWEST	085	085	LINCOLN			00000000			9000	UNITED STATES	MISSISSIPPI, SOUTHWEST, LINCOLN	1966	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	650	 
SURVEY	CROPS	FIELD CROPS	RYE	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	YIELD	BU / ACRE	RYE - YIELD, MEASURED IN BU / ACRE	TOTAL	NOT SPECIFIED	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	1938	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	14	 
CENSUS	CROPS	CROP TOTALS	CROP TOTALS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	SALES	OPERATIONS	CROP TOTALS - OPERATIONS WITH SALES	TOTAL	NOT SPECIFIED	ZIP CODE	19	19	IA	IOWA							52144	00000000			9000	UNITED STATES	52144	2017	ANNUAL	00	00	YEAR		2018-02-01 00:00:00	160	 
SURVEY	CROPS	FIELD CROPS	SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	YIELD	BU / ACRE	SOYBEANS - YIELD, MEASURED IN BU / ACRE	TOTAL	NOT SPECIFIED	COUNTY	18	18	IN	INDIANA	80	SOUTH CENTRAL	123	123	PERRY			00000000			9000	UNITED STATES	INDIANA, SOUTH CENTRAL, PERRY	2014	ANNUAL	00	00	YEAR		2016-02-18 15:04:50	50.6	 
CENSUS	CROPS	FIELD CROPS	CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	GRAIN	AREA HARVESTED	OPERATIONS	CORN, GRAIN - OPERATIONS WITH AREA HARVESTED	AREA HARVESTED	AREA HARVESTED: (100 TO 249 ACRES)	STATE	18	18	IN	INDIANA								00000000			9000	UNITED STATES	INDIANA	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	5,328	 
SURVEY	CROPS	FIELD CROPS	WHEAT	WINTER	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	BU	WHEAT, WINTER - PRODUCTION, MEASURED IN BU	TOTAL	NOT SPECIFIED	COUNTY	45	45	SC	SOUTH CAROLINA	20	NORTH CENTRAL	091	091	YORK			00000000			9000	UNITED STATES	SOUTH CAROLINA, NORTH CENTRAL, YORK	2015	ANNUAL	00	00	YEAR		2015-12-10 16:08:04	57,800	 
SURVEY	CROPS	FIELD CROPS	SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	CONDITION, PREVIOUS YEAR	PCT VERY POOR	SOYBEANS - CONDITION, PREVIOUS YEAR, MEASURED IN PCT VERY POOR	TOTAL	NOT SPECIFIED	STATE	22	22	LA	LOUISIANA								00000000			9000	UNITED STATES	LOUISIANA	2018	WEEKLY	22	22	WEEK #22	2018-06-03	2018-06-04 16:00:02	1	 
SURVEY	CROPS	FIELD CROPS	WHEAT	ALL CLASSES	NON-IRRIGATED	ALL UTILIZATION PRACTICES	PRODUCTION	BU	WHEAT, NON-IRRIGATED - PRODUCTION, MEASURED IN BU	TOTAL	NOT SPECIFIED	COUNTY	48	48	TX	TEXAS	40	BLACKLANDS	309	309	MCLENNAN			00000000			9000	UNITED STATES	TEXAS, BLACKLANDS, MCLENNAN	1974	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	329,000	 
SURVEY	CROPS	FIELD CROPS	WHEAT	WINTER	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	WHEAT, WINTER - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	17	17	IL	ILLINOIS	90	SOUTHEAST	193	193	WHITE			00000000			9000	UNITED STATES	ILLINOIS, SOUTHEAST, WHITE	1926	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	33,800	 
SURVEY	CROPS	FIELD CROPS	HAY	ALFALFA	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	HAY, ALFALFA - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	31	31	NE	NEBRASKA	90	SOUTHEAST	133	133	PAWNEE			00000000			9000	UNITED STATES	NEBRASKA, SOUTHEAST, PAWNEE	2018	ANNUAL	00	00	YEAR		2024-04-26 15:00:00	2,700	
CENSUS	CROPS	FIELD CROPS	HAY & HAYLAGE	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	OPERATIONS	HAY & HAYLAGE - OPERATIONS WITH AREA HARVESTED	FARM SALES AND AREA HARVESTED	FARM SALES: (5,000 TO 9,999 $) AND AREA HARVESTED: (25.0 TO 99.9 ACRES)	STATE	02	02	AK	ALASKA								00000000			9000	UNITED STATES	ALASKA	2012	ANNUAL	00	00	YEAR		2012-12-31 00:00:00	25	(L)
SURVEY	CROPS	FIELD CROPS	SUGARCANE	ALL CLASSES	ALL PRODUCTION PRACTICES	SUGAR	PRODUCTION	TONS	SUGARCANE, SUGAR - PRODUCTION, MEASURED IN TONS	TOTAL	NOT SPECIFIED	COUNTY	48	48	TX	TEXAS	97	LOWER VALLEY	489	489	WILLACY			00000000			9000	UNITED STATES	TEXAS, LOWER VALLEY, WILLACY	1991	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	95,100	 
CENSUS	CROPS	VEGETABLES	BEANS	SNAP	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	BEANS, SNAP - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	36	36	NY	NEW YORK	60	EASTERN	083	083	RENSSELAER			00000000			9000	UNITED STATES	NEW YORK, EASTERN, RENSSELAER	2007	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	13	 
CENSUS	CROPS	FIELD CROPS	SORGHUM	ALL CLASSES	ALL PRODUCTION PRACTICES	GRAIN	AREA HARVESTED	OPERATIONS	SORGHUM, GRAIN - OPERATIONS WITH AREA HARVESTED	AREA HARVESTED	AREA HARVESTED: (25.0 TO 99.9 ACRES)	COUNTY	20	20	KS	KANSAS	80	EAST CENTRAL	003	003	ANDERSON			00000000			9000	UNITED STATES	KANSAS, EAST CENTRAL, ANDERSON	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	51	 
SURVEY	CROPS	FIELD CROPS	CORN	ALL CLASSES	ALL PRODUCTION PRACTICES	GRAIN	AREA HARVESTED	ACRES	CORN, GRAIN - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	13	13	GA	GEORGIA	40	WEST CENTRAL	045	045	CARROLL			00000000			9000	UNITED STATES	GEORGIA, WEST CENTRAL, CARROLL	1965	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	5,270	 
SURVEY	CROPS	FIELD CROPS	WHEAT	ALL CLASSES	IRRIGATED	ALL UTILIZATION PRACTICES	PRODUCTION	BU	WHEAT, IRRIGATED - PRODUCTION, MEASURED IN BU	TOTAL	NOT SPECIFIED	COUNTY	48	48	TX	TEXAS	12	SOUTHERN HIGH PLAINS	501	501	YOAKUM			00000000			9000	UNITED STATES	TEXAS, SOUTHERN HIGH PLAINS, YOAKUM	1995	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	20,000	 
CENSUS	CROPS	HORTICULTURE	BEDDING PLANTS, ANNUAL	FLOWERING & FOLIAR, VERBENA	ALL PRODUCTION PRACTICES	WHOLESALE, POTS, GE 5 INCHES	SALES	POTS	BEDDING PLANTS, ANNUAL, FLOWERING & FOLIAR, VERBENA, WHOLESALE, POTS, GE 5 INCHES - SALES, MEASURED IN POTS	TOTAL	NOT SPECIFIED	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2009	ANNUAL	00	00	YEAR		2015-01-31 00:00:00	202,087	 
SURVEY	CROPS	VEGETABLES	POTATOES	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	POTATOES - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	27	27	MN	MINNESOTA	60	EAST CENTRAL	025	025	CHISAGO			00000000			9000	UNITED STATES	MINNESOTA, EAST CENTRAL, CHISAGO	1930	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	8,800	 
SURVEY	CROPS	FIELD CROPS	OATS	ALL CLASSES	IRRIGATED	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	OATS, IRRIGATED - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	30	30	MT	MONTANA	50	CENTRAL	037	037	GOLDEN VALLEY			00000000			9000	UNITED STATES	MONTANA, CENTRAL, GOLDEN VALLEY	1969	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	100	 
CENSUS	CROPS	FIELD CROPS	TOBACCO	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	OPERATIONS	TOBACCO - OPERATIONS WITH AREA HARVESTED	TOTAL	NOT SPECIFIED	ZIP CODE	29	29	MO	MISSOURI							65254	00000000			9000	UNITED STATES	65254	2007	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	18	 
SURVEY	CROPS	FIELD CROPS	BARLEY	ALL CLASSES	ALL PRODUCTION PRACTICES	MALTING	PRICE RECEIVED	$ / BU	BARLEY, MALTING - PRICE RECEIVED, MEASURED IN $ / BU	TOTAL	NOT SPECIFIED	STATE	38	38	ND	NORTH DAKOTA								00000000			9000	UNITED STATES	NORTH DAKOTA	1986	MONTHLY	03	03	MAR		2012-01-01 00:00:00	1.88	 
SURVEY	CROPS	FIELD CROPS	BARLEY	ALL CLASSES	NON-IRRIGATED, CONTINUOUS CROP	ALL UTILIZATION PRACTICES	PRODUCTION	BU	BARLEY, NON-IRRIGATED, CONTINUOUS CROP - PRODUCTION, MEASURED IN BU	TOTAL	NOT SPECIFIED	COUNTY	46	46	SD	SOUTH DAKOTA	60	EAST CENTRAL	035	035	DAVISON			00000000			9000	UNITED STATES	SOUTH DAKOTA, EAST CENTRAL, DAVISON	1980	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	103,100	 
SURVEY	CROPS	FIELD CROPS	HAY	ALFALFA	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	YIELD	TONS / ACRE	HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE	TOTAL	NOT SPECIFIED	COUNTY	20	20	KS	KANSAS	90	SOUTHEAST	011	011	BOURBON			00000000			9000	UNITED STATES	KANSAS, SOUTHEAST, BOURBON	2001	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	2.4	 
SURVEY	CROPS	FIELD CROPS	SUGARBEETS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	CONDITION, 5 YEAR AVG	PCT GOOD	SUGARBEETS - CONDITION, 5 YEAR AVG, MEASURED IN PCT GOOD	TOTAL	NOT SPECIFIED	STATE	16	16	ID	IDAHO								00000000			9000	UNITED STATES	IDAHO	2022	WEEKLY	25	25	WEEK #25	2022-06-26	2022-06-27 16:00:04	47	 
SURVEY	CROPS	FIELD CROPS	WHEAT	WINTER	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	WHEAT, WINTER - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	45	45	SC	SOUTH CAROLINA	80	SOUTHERN	049	049	HAMPTON			00000000			9000	UNITED STATES	SOUTH CAROLINA, SOUTHERN, HAMPTON	1988	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	9,400	 
SURVEY	CROPS	FIELD CROPS	WHEAT	WINTER	NON-IRRIGATED, CONTINUOUS CROP	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	WHEAT, WINTER, NON-IRRIGATED, CONTINUOUS CROP - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	08	08	CO	COLORADO	60	EAST CENTRAL	005	005	ARAPAHOE			00000000			9000	UNITED STATES	COLORADO, EAST CENTRAL, ARAPAHOE	1975	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	3,000	 
SURVEY	CROPS	FIELD CROPS	WHEAT	SPRING, (EXCL DURUM)	NON-IRRIGATED	ALL UTILIZATION PRACTICES	AREA PLANTED	ACRES	WHEAT, SPRING, (EXCL DURUM), NON-IRRIGATED - ACRES PLANTED	TOTAL	NOT SPECIFIED	COUNTY	30	30	MT	MONTANA	20	NORTH CENTRAL	073	073	PONDERA			00000000			9000	UNITED STATES	MONTANA, NORTH CENTRAL, PONDERA	2004	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	64,600	 
CENSUS	CROPS	VEGETABLES	GREENS	KALE	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	ACRES	GREENS, KALE - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	24	24	MD	MARYLAND	30	UPPER EASTERN SHORE	015	015	CECIL			00000000			9000	UNITED STATES	MARYLAND, UPPER EASTERN SHORE, CECIL	2017	ANNUAL	00	00	YEAR		2018-02-01 00:00:00	1	2.5
SURVEY	CROPS	FIELD CROPS	OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	ON FARM	STOCKS	BU	OATS, ON FARM - STOCKS, MEASURED IN BU	TOTAL	NOT SPECIFIED	STATE	35	35	NM	NEW MEXICO								00000000			9000	UNITED STATES	NEW MEXICO	1966	POINT IN TIME	12	12	FIRST OF DEC		2012-01-01 00:00:00	67,000	 
SURVEY	CROPS	FIELD CROPS	OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRICE RECEIVED	$ / BU	OATS - PRICE RECEIVED, MEASURED IN $ / BU	TOTAL	NOT SPECIFIED	STATE	46	46	SD	SOUTH DAKOTA								00000000			9000	UNITED STATES	SOUTH DAKOTA	1980	MONTHLY	04	04	APR		2012-01-01 00:00:00	1.26	 
CENSUS	CROPS	HORTICULTURE	HORTICULTURE TOTALS	(EXCL CUT TREES)	IN THE OPEN, IRRIGATED	ALL UTILIZATION PRACTICES	AREA IN PRODUCTION	ACRES	HORTICULTURE TOTALS, (EXCL CUT TREES), IN THE OPEN, IRRIGATED - ACRES IN PRODUCTION	TOTAL	NOT SPECIFIED	COUNTY	18	18	IN	INDIANA	70	SOUTHWEST	027	027	DAVIESS			00000000			9000	UNITED STATES	INDIANA, SOUTHWEST, DAVIESS	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	(D)	 
CENSUS	CROPS	FIELD CROPS	SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA HARVESTED	OPERATIONS	SOYBEANS - OPERATIONS WITH AREA HARVESTED	AREA HARVESTED	AREA HARVESTED: (100 TO 249 ACRES)	ZIP CODE	29	29	MO	MISSOURI							63333	00000000			9000	UNITED STATES	63333	2017	ANNUAL	00	00	YEAR		2018-02-01 00:00:00	2	 
SURVEY	CROPS	FIELD CROPS	COTTON	UPLAND	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	CONDITION	PCT EXCELLENT	COTTON, UPLAND - CONDITION, MEASURED IN PCT EXCELLENT	TOTAL	NOT SPECIFIED	STATE	06	06	CA	CALIFORNIA								00000000			9000	UNITED STATES	CALIFORNIA	2010	WEEKLY	30	30	WEEK #30	2010-08-01	2013-01-01 12:00:00	5	 
SURVEY	CROPS	FIELD CROPS	WHEAT	ALL CLASSES	NON-IRRIGATED, CONTINUOUS CROP	ALL UTILIZATION PRACTICES	YIELD	BU / NET PLANTED ACRE	WHEAT, NON-IRRIGATED, CONTINUOUS CROP - YIELD, MEASURED IN BU / NET PLANTED ACRE	TOTAL	NOT SPECIFIED	COUNTY	40	40	OK	OKLAHOMA	80	EAST CENTRAL	135	135	SEQUOYAH			00000000			9000	UNITED STATES	OKLAHOMA, EAST CENTRAL, SEQUOYAH	1976	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	15.2	 
SURVEY	CROPS	FIELD CROPS	SORGHUM	ALL CLASSES	ALL PRODUCTION PRACTICES	GRAIN	AREA HARVESTED	ACRES	SORGHUM, GRAIN - ACRES HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	29	29	MO	MISSOURI	40	WEST	101	101	JOHNSON			00000000			9000	UNITED STATES	MISSOURI, WEST, JOHNSON	1988	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	9,300	 
SURVEY	CROPS	FIELD CROPS	HAY	ALFALFA	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	YIELD	TONS / ACRE	HAY, ALFALFA - YIELD, MEASURED IN TONS / ACRE	TOTAL	NOT SPECIFIED	COUNTY	27	27	MN	MINNESOTA	60	EAST CENTRAL	065	065	KANABEC			00000000			9000	UNITED STATES	MINNESOTA, EAST CENTRAL, KANABEC	1989	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	1.9	 
CENSUS	CROPS	VEGETABLES	TOMATOES	ALL CLASSES	IN THE OPEN	ALL UTILIZATION PRACTICES	AREA HARVESTED	OPERATIONS	TOMATOES, IN THE OPEN - OPERATIONS WITH AREA HARVESTED	TOTAL	NOT SPECIFIED	COUNTY	39	39	OH	OHIO	30	NORTHEAST	055	055	GEAUGA			00000000			9000	UNITED STATES	OHIO, NORTHEAST, GEAUGA	2017	ANNUAL	00	00	YEAR		2018-02-01 00:00:00	37	70.2
SURVEY	CROPS	FIELD CROPS	WHEAT	ALL CLASSES	NON-IRRIGATED, FOLLOWING SUMMER FALLOW	ALL UTILIZATION PRACTICES	YIELD	BU / NET PLANTED ACRE	WHEAT, NON-IRRIGATED, FOLLOWING SUMMER FALLOW - YIELD, MEASURED IN BU / NET PLANTED ACRE	TOTAL	NOT SPECIFIED	COUNTY	41	41	OR	OREGON	70	SOUTHWEST	019	019	DOUGLAS			00000000			9000	UNITED STATES	OREGON, SOUTHWEST, DOUGLAS	1984	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	70	 
SURVEY	CROPS	FIELD CROPS	WHEAT	WINTER	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	YIELD	BU / NET PLANTED ACRE	WHEAT, WINTER - YIELD, MEASURED IN BU / NET PLANTED ACRE	TOTAL	NOT SPECIFIED	COUNTY	21	21	KY	KENTUCKY	20	MIDWESTERN	177	177	MUHLENBERG			00000000			9000	UNITED STATES	KENTUCKY, MIDWESTERN, MUHLENBERG	1972	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	23.3	 
SURVEY	CROPS	FIELD CROPS	SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	PRODUCTION	LB	SUNFLOWER - PRODUCTION, MEASURED IN LB	TOTAL	NOT SPECIFIED	COUNTY	20	20	KS	KANSAS	20	WEST CENTRAL	101	101	LANE			00000000			9000	UNITED STATES	KANSAS, WEST CENTRAL, LANE	2002	ANNUAL	00	00	YEAR		2012-01-01 00:00:00	1,458,000	 
SURVEY	CROPS	FIELD CROPS	WHEAT	WINTER	ALL PRODUCTION PRACTICES	ALL UTILIZATION PRACTICES	AREA PLANTED	ACRES	WHEAT, WINTER - ACRES PLANTED	TOTAL	NOT SPECIFIED	COUNTY	36	36	NY	NEW YORK	40	WESTERN	055	055	MONROE			00000000			9000	UNITED STATES	NEW YORK, WESTERN, MONROE	2015	ANNUAL	00	00	YEAR		2015-12-10 16:08:04	12,400	 
